Output Column,Canonical Owners,Owner Count,Collision Type,Status,Notes
PRICE_VOLUME_TREND,price_volume_trend,1,NONE,PASS,No shared canonical output name.
PSYCHOLOGICAL_LINE,psychological_line,1,NONE,PASS,No shared canonical output name.
QSTICK,qstick,1,NONE,PASS,No shared canonical output name.
RAINBOW_OSCILLATOR,rainbow_oscillator,1,NONE,PASS,No shared canonical output name.
RELATIVE_AVERAGE_TRUE_RANGE,relative_average_true_range,1,NONE,PASS,No shared canonical output name.
RELATIVE_VIGOR,relative_vigor_index,1,NONE,PASS,No shared canonical output name.
RELATIVE_VIGOR_SIGNAL,relative_vigor_index,1,NONE,PASS,No shared canonical output name.
RESISTANCE,support_resistance,1,NONE,PASS,No shared canonical output name.
RMI,rmi,1,NONE,PASS,No shared canonical output name.
ROC,roc,1,NONE,PASS,No shared canonical output name.
ROGERS_SATCHELL_VOLATILITY,rogers_satchell_volatility,1,NONE,PASS,No shared canonical output name.
ROLLING_VWAP,rolling_vwap,1,NONE,PASS,No shared canonical output name.
RSI,rsi,1,NONE,PASS,No shared canonical output name.
SCHAFF_TREND_CYCLE,schaff_trend_cycle,1,NONE,PASS,No shared canonical output name.
SINE_WEIGHTED_MOVING_AVERAGE,sine_weighted_moving_average,1,NONE,PASS,No shared canonical output name.
SMA,sma,1,NONE,PASS,No shared canonical output name.
SMI_ERGODIC,smi_ergodic,1,NONE,PASS,No shared canonical output name.
SMI_ERGODIC_SIGNAL,smi_ergodic,1,NONE,PASS,No shared canonical output name.
SQUEEZE_MOMENTUM,squeeze_momentum,1,NONE,PASS,No shared canonical output name.
SQUEEZE_ON,squeeze_momentum,1,NONE,PASS,No shared canonical output name.
STANDARD_DEVIATION,standard_deviation,1,NONE,PASS,No shared canonical output name.
STOCHASTIC_D,stochastic,1,NONE,PASS,No shared canonical output name.
STOCHASTIC_K,stochastic,1,NONE,PASS,No shared canonical output name.
STOCHASTIC_MOMENTUM,stochastic_momentum_index,1,NONE,PASS,No shared canonical output name.
STOCHASTIC_MOMENTUM_SIGNAL,stochastic_momentum_index,1,NONE,PASS,No shared canonical output name.
STOCHASTIC_RSI_D,stochastic_rsi,1,NONE,PASS,No shared canonical output name.
STOCHASTIC_RSI_K,stochastic_rsi,1,NONE,PASS,No shared canonical output name.
SUPERTREND,supertrend,1,NONE,PASS,No shared canonical output name.
SUPERTREND_DIRECTION,supertrend,1,NONE,PASS,No shared canonical output name.
SUPPORT,support_resistance,1,NONE,PASS,No shared canonical output name.
SWING_HIGH,swing_high_low,1,NONE,PASS,No shared canonical output name.
SWING_LOW,swing_high_low,1,NONE,PASS,No shared canonical output name.
T3_MOVING_AVERAGE,t3_moving_average,1,NONE,PASS,No shared canonical output name.
TEMA,tema,1,NONE,PASS,No shared canonical output name.
TIME_SERIES_FORECAST,time_series_forecast,1,NONE,PASS,No shared canonical output name.
TREND_TRIGGER_FACTOR,trend_trigger_factor,1,NONE,PASS,No shared canonical output name.
TRIMA,trima,1,NONE,PASS,No shared canonical output name.
TRIPLE_SMOOTHED_EMA,triple_smoothed_ema,1,NONE,PASS,No shared canonical output name.
TRIX,trix,1,NONE,PASS,No shared canonical output name.
TRUE_RANGE,true_range,1,NONE,PASS,No shared canonical output name.
TSI,tsi,1,NONE,PASS,No shared canonical output name.
TWIGGS_MONEY_FLOW,twiggs_money_flow,1,NONE,PASS,No shared canonical output name.
ULCER_INDEX,ulcer_index,1,NONE,PASS,No shared canonical output name.
ULTIMATE_OSCILLATOR,ultimate_oscillator,1,NONE,PASS,No shared canonical output name.
VIDYA,vidya,1,NONE,PASS,No shared canonical output name.
VOLATILITY_STOP_LONG,volatility_stop,1,NONE,PASS,No shared canonical output name.
VOLATILITY_STOP_SHORT,volatility_stop,1,NONE,PASS,No shared canonical output name.
VOLUME_EMA,volume_ema,1,NONE,PASS,No shared canonical output name.
VOLUME_OSCILLATOR,volume_oscillator,1,NONE,PASS,No shared canonical output name.
VOLUME_ROC,volume_roc,1,NONE,PASS,No shared canonical output name.
VOLUME_SMA,volume_sma,1,NONE,PASS,No shared canonical output name.
VOLUME_WEIGHTED_MACD,volume_weighted_macd,1,NONE,PASS,No shared canonical output name.
VOLUME_WEIGHTED_MACD_HISTOGRAM,volume_weighted_macd,1,NONE,PASS,No shared canonical output name.
VOLUME_WEIGHTED_MACD_SIGNAL,volume_weighted_macd,1,NONE,PASS,No shared canonical output name.
VOLUME_ZONE_OSCILLATOR,volume_zone_oscillator,1,NONE,PASS,No shared canonical output name.
VORTEX_NEGATIVE,vortex,1,NONE,PASS,No shared canonical output name.
VORTEX_POSITIVE,vortex,1,NONE,PASS,No shared canonical output name.
VWAP,vwap,1,NONE,PASS,No shared canonical output name.
VWAP_DEVIATION,vwap_deviation,1,NONE,PASS,No shared canonical output name.
VWMA,vwma,1,NONE,PASS,No shared canonical output name.
WAVETREND,wavetrend_oscillator,1,NONE,PASS,No shared canonical output name.
WAVETREND_SIGNAL,wavetrend_oscillator,1,NONE,PASS,No shared canonical output name.
WILLIAMS_R,williams_r,1,NONE,PASS,No shared canonical output name.
WMA,wma,1,NONE,PASS,No shared canonical output name.
YANG_ZHANG_VOLATILITY,yang_zhang_volatility,1,NONE,PASS,No shared canonical output name.
ZLEMA,zlema,1,NONE,PASS,No shared canonical output name.
ZSCORE,zscore,1,NONE,PASS,No shared canonical output name.
bearish_engulfing,candlestick,1,NONE,PASS,No shared canonical output name.
bearish_harami,candlestick,1,NONE,PASS,No shared canonical output name.
bearish_marubozu,candlestick,1,NONE,PASS,No shared canonical output name.
bullish_engulfing,candlestick,1,NONE,PASS,No shared canonical output name.
bullish_harami,candlestick,1,NONE,PASS,No shared canonical output name.
bullish_marubozu,candlestick,1,NONE,PASS,No shared canonical output name.
dark_cloud_cover,candlestick,1,NONE,PASS,No shared canonical output name.
doji,candlestick,1,NONE,PASS,No shared canonical output name.
dragonfly_doji,candlestick,1,NONE,PASS,No shared canonical output name.
evening_star,candlestick,1,NONE,PASS,No shared canonical output name.
gap_down,candlestick,1,NONE,PASS,No shared canonical output name.
gap_up,candlestick,1,NONE,PASS,No shared canonical output name.
gravestone_doji,candlestick,1,NONE,PASS,No shared canonical output name.
hammer,candlestick,1,NONE,PASS,No shared canonical output name.
hanging_man,candlestick,1,NONE,PASS,No shared canonical output name.
inside_bar,candlestick,1,NONE,PASS,No shared canonical output name.
inverted_hammer,candlestick,1,NONE,PASS,No shared canonical output name.
morning_star,candlestick,1,NONE,PASS,No shared canonical output name.
outside_bar,candlestick,1,NONE,PASS,No shared canonical output name.
piercing_line,candlestick,1,NONE,PASS,No shared canonical output name.
shooting_star,candlestick,1,NONE,PASS,No shared canonical output name.
spinning_top,candlestick,1,NONE,PASS,No shared canonical output name.
three_black_crows,candlestick,1,NONE,PASS,No shared canonical output name.
three_white_soldiers,candlestick,1,NONE,PASS,No shared canonical output name.
tweezer_bottom,candlestick,1,NONE,PASS,No shared canonical output name.
tweezer_top,candlestick,1,NONE,PASS,No shared canonical output name.
