framework,category,row_count,mode,instrumentation_enabled,warmup_runs,measured_runs,mean_ms,median_ms,minimum_ms,maximum_ms,standard_deviation_ms,p90_ms,preparation_ms,alignment_ms,decision_ms,controller_ms,policy_ms,session_ms,setup_ms,position_ms,diagnostics_ms,normalization_ms,serialization_ms,manifest_ms,memory_bytes,repeated_indicator_calculations
connors_rsi_mean_reversion,mean_reversion,1000,stateful,False,1,5,331.8031999981031,336.01890003774315,316.22429995331913,348.8920000381768,12.478089527703755,345.00644002109766,1.4466800028458238,6.343219988048077,183.57047997415063,0.0,0.0,0.0,0.0,0.0,21.72525927890092,23.394740046933293,19.041220052167773,0.2483599819242954,2926038,0
donchian_breakout,breakout,1000,stateful,False,1,5,284.35282001737505,285.1812000153586,275.39019996766,293.7675000866875,6.946078612046001,292.1249400591478,1.3691999949514866,6.179299973882735,144.74544117692858,0.0,0.0,0.0,0.0,0.0,19.27435914985836,23.73405946418643,19.04421946965158,0.2119999844580888,2807031,0
dual_moving_average_crossover,trend_following,1000,stateful,False,1,5,364.30866001173854,378.0645999358967,333.4863999625668,391.7462000390515,23.505400954125584,386.7799200350418,1.2954200152307749,6.362759997136891,211.1833588918671,0.0,0.0,0.0,0.0,0.0,21.946661034598947,25.952159613370892,21.040019625797868,0.2309399889782071,2819031,0
elder_impulse_system,momentum,1000,stateful,False,1,5,390.62038003467023,390.6304000411183,367.2601000871509,418.7633000547066,16.54708856843079,407.8067800262943,1.2258999748155477,6.160460016690195,242.41602013353256,0.0,0.0,0.0,0.0,0.0,21.875200024805963,25.34316014498472,20.9816801128909,0.2073999959975481,2810037,0
ema_ribbon_trend,trend_following,1000,stateful,False,1,5,347.81275999266654,337.1342000318691,329.69579997006804,376.3812999241054,17.87909329578303,370.2136199455708,1.350479992106557,6.549760000780225,202.805558918044,0.0,0.0,0.0,0.0,0.0,20.695099234580997,24.53788116108626,20.199821167625487,0.2085399813950061,2806031,0
engulfing_confirmation_trend,price_action,1000,stateful,False,1,5,369.05555999837816,375.2340000355616,349.5478000259027,383.0731000052765,13.556970704226988,382.2559399763122,1.1921599972993135,6.351639982312918,222.21660003997383,0.0,0.0,0.0,0.0,0.0,20.359600544907156,24.92751979734749,20.60809980612248,0.2682800404727459,2940627,0
heikin_ashi_trend,trend_following,1000,stateful,False,1,5,376.74185999203473,363.5764000937343,359.90440007299185,415.1761999819428,21.137474852177373,402.7152399532497,1.3068200089037418,6.2661799835041165,233.73369907494637,0.0,0.0,0.0,0.0,0.0,20.281578763388097,24.366380413994197,19.825200410559773,0.1987600000575184,2807037,0
ichimoku_cloud_trading,trend_following,1000,stateful,False,1,5,281.70127999037504,279.1916000423953,268.1082999333739,304.72519993782043,13.479321720970448,297.7462399750948,1.1851799674332142,5.929280002601445,142.53002086188644,0.0,0.0,0.0,0.0,0.0,19.01793975848705,24.318638746626675,19.88249875139445,0.2319600200280547,2884672,0
inside_bar_breakout,price_action,1000,stateful,False,1,5,364.4873399985954,365.22430006880313,344.0226999809965,387.8585000056773,14.137925832729826,379.2567799799144,1.2061200104653835,6.138340011239052,224.65624019969252,0.0,0.0,0.0,0.0,0.0,19.160241191275414,23.41527931857854,19.190899305976927,0.2437800168991089,2922745,0
keltner_channel_breakout,breakout,1000,stateful,False,1,5,339.126340020448,341.77329996600747,318.1952000595629,362.2711000498384,16.306772727757867,357.2329400572926,1.2137400219216945,5.950880004093051,201.699260645546,0.0,0.0,0.0,0.0,0.0,19.49884076602757,23.966598766855896,19.770158757455647,0.1929200021550059,2814031,0
