Strategy ID,Strategy Name,Strategy Source,Template Type,Pair,Timeframe,SL %,TP %,ROI %,Profit Factor,Total PnL %,Win Rate %,Max Drawdown %,Trades,Expectancy,Runtime Seconds,PF Score,PnL Score,Win Score,DD Score,Trade Score,Overall Score
PLB001_EMA20_100_RSI14_BUY35_SL1P0_TP2P0,Generated Pullback EMA 20/100 RSI 35,GENERATED,pullback,XRPUSDT,15m,1.0,4.0,-0.07,1.0,9.0,20.39,-32.92,456.0,-0.02,31.22,12.5,4.5,6.796666666666667,3.5399999999999987,10.0,37.336666666666666
PLB001_EMA20_100_RSI14_BUY35_SL1P0_TP3P0,Generated Pullback EMA 20/100 RSI 35,GENERATED,pullback,XRPUSDT,15m,1.0,4.0,-0.07,1.0,9.0,20.39,-32.92,456.0,-0.02,31.54,12.5,4.5,6.796666666666667,3.5399999999999987,10.0,37.336666666666666
BRK001_EMA50_100_ATR14_SL1P5_TP3P0,Generated Breakout EMA 50/100 ATR 14,GENERATED,breakout,XRPUSDT,15m,1.0,4.0,0.52,1.0,9.0,20.42,-33.64,426.0,0.12,40.69,12.5,4.5,6.8066666666666675,3.1800000000000006,10.0,36.986666666666665
BRK001_EMA20_100_ATR14_SL1P5_TP3P0,Generated Breakout EMA 20/100 ATR 14,GENERATED,breakout,BNBUSDT,15m,1.0,5.0,9.01,1.03,16.0,17.59,-41.56,290.0,3.11,41.62,12.875,8.0,5.863333333333333,0.0,10.0,36.73833333333333
BRK001_EMA20_100_ATR14_SL1P5_TP4P0,Generated Breakout EMA 20/100 ATR 14,GENERATED,breakout,BNBUSDT,15m,1.0,5.0,9.01,1.03,16.0,17.59,-41.56,290.0,3.11,41.35,12.875,8.0,5.863333333333333,0.0,10.0,36.73833333333333
bollinger_atr_filter,Bollinger + ATR Volatility Filter,FIXED,fixed,ETHUSDT,15m,2.5,3.0,-33.86,0.95,-24.0,44.52,-63.87,465.0,-7.28,41.14,11.875,0.0,14.840000000000002,0.0,10.0,36.715
bollinger_reversal_rsi,Bollinger Band Reversal + RSI,FIXED,fixed,ETHUSDT,15m,2.0,3.0,-10.64,0.98,2.0,40.09,-51.06,444.0,-2.4,40.59,12.25,1.0,13.363333333333333,0.0,10.0,36.61333333333333
HYB001_EMA20_100_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 20/100 RSI 14 Vol 1.2,GENERATED,hybrid,XRPUSDT,15m,1.5,4.0,-1.49,1.0,7.0,27.72,-38.25,285.0,-0.52,40.34,12.5,3.5000000000000004,9.239999999999998,0.8749999999999991,10.0,36.114999999999995
bollinger_reversal_rsi,Bollinger Band Reversal + RSI,FIXED,fixed,BTCUSDT,15m,1.0,2.0,-21.84,0.94,-19.0,32.24,-33.53,577.0,-3.78,41.24,11.75,0.0,10.746666666666666,3.234999999999999,10.0,35.73166666666667
supertrend_rsi,SuperTrend + RSI,FIXED,fixed,BTCUSDT,15m,1.0,2.0,-22.62,0.94,-20.0,32.18,-33.53,578.0,-3.91,40.37,11.75,0.0,10.726666666666667,3.234999999999999,10.0,35.711666666666666
PLB001_EMA20_100_RSI14_BUY35_SL1P0_TP2P0,Generated Pullback EMA 20/100 RSI 35,GENERATED,pullback,BNBUSDT,15m,1.0,5.0,6.84,1.02,14.0,17.47,-40.64,292.0,2.34,31.01,12.75,7.000000000000001,5.823333333333332,0.0,10.0,35.57333333333333
PLB001_EMA20_100_RSI14_BUY35_SL1P0_TP3P0,Generated Pullback EMA 20/100 RSI 35,GENERATED,pullback,BNBUSDT,15m,1.0,5.0,6.84,1.02,14.0,17.47,-40.64,292.0,2.34,31.32,12.75,7.000000000000001,5.823333333333332,0.0,10.0,35.57333333333333
supertrend_rsi,SuperTrend + RSI,FIXED,fixed,ETHUSDT,15m,2.0,3.0,-13.24,0.98,-1.0,39.95,-51.06,443.0,-2.99,40.61,12.25,0.0,13.316666666666668,0.0,10.0,35.56666666666667
MRV001_BB20_RSI14_BUY40_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 40,GENERATED,mean_reversion,ETHUSDT,15m,2.0,3.0,-20.54,0.97,-8.0,39.68,-52.34,504.0,-4.07,30.11,12.125,0.0,13.226666666666667,0.0,10.0,35.35166666666667
candlestick_volume,Candlestick Confirmation + Volume,FIXED,fixed,BTCUSDT,15m,1.5,2.0,-28.31,0.92,-26.0,41.34,-41.82,491.0,-5.77,191.63,11.5,0.0,13.780000000000001,0.0,10.0,35.28
MRV001_BB20_RSI14_BUY35_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 35,GENERATED,mean_reversion,BTCUSDT,15m,1.0,2.0,-22.81,0.95,-19.0,32.43,-35.69,703.0,-3.24,40.76,11.875,0.0,10.809999999999999,2.1550000000000002,10.0,34.84
MRV001_BB20_RSI14_BUY35_SL1P5_TP2P0,Generated Mean Reversion Bollinger 20 RSI 35,GENERATED,mean_reversion,BTCUSDT,15m,1.0,2.0,-22.81,0.95,-19.0,32.43,-35.69,703.0,-3.24,40.65,11.875,0.0,10.809999999999999,2.1550000000000002,10.0,34.84
HYB001_EMA20_100_RSI14_VOL1P5_SL1P5_TP3P0,Generated Hybrid EMA 20/100 RSI 14 Vol 1.5,GENERATED,hybrid,BNBUSDT,15m,1.0,5.0,5.79,1.02,12.0,17.46,-43.38,252.0,2.3,105.26,12.75,6.0,5.82,0.0,10.0,34.57
MRV001_BB20_RSI14_BUY40_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 40,GENERATED,mean_reversion,BTCUSDT,15m,1.0,2.0,-23.22,0.94,-20.0,32.32,-36.8,656.0,-3.54,30.76,11.75,0.0,10.773333333333333,1.6000000000000014,10.0,34.123333333333335
MRV001_BB20_RSI14_BUY40_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 40,GENERATED,mean_reversion,SOLUSDT,15m,1.5,3.0,-22.04,0.97,-6.0,33.18,-55.42,850.0,-2.59,30.09,12.125,0.0,11.06,0.0,10.0,33.185
bollinger_atr_filter,Bollinger + ATR Volatility Filter,FIXED,fixed,BNBUSDT,15m,1.0,2.0,-25.79,0.97,-19.0,32.76,-57.33,1099.0,-2.35,40.71,12.125,0.0,10.919999999999998,0.0,10.0,33.045
MRV001_BB20_RSI14_BUY35_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 35,GENERATED,mean_reversion,BNBUSDT,15m,1.0,2.0,-24.25,0.97,-18.0,32.73,-53.86,993.0,-2.44,40.94,12.125,0.0,10.91,0.0,10.0,33.035
MRV001_BB20_RSI14_BUY35_SL1P5_TP2P0,Generated Mean Reversion Bollinger 20 RSI 35,GENERATED,mean_reversion,BNBUSDT,15m,1.0,2.0,-24.25,0.97,-18.0,32.73,-53.86,993.0,-2.44,40.82,12.125,0.0,10.91,0.0,10.0,33.035
candlestick_volume,Candlestick Confirmation + Volume,FIXED,fixed,ETHUSDT,15m,1.5,3.0,-38.01,0.94,-33.0,32.25,-63.31,676.0,-5.62,193.07,11.75,0.0,10.75,0.0,10.0,32.5
MRV001_BB20_RSI14_BUY30_SL1P0_TP2P0,Generated Mean Reversion Bollinger 20 RSI 30,GENERATED,mean_reversion,BTCUSDT,15m,1.0,2.0,-31.72,0.92,-31.0,31.93,-42.54,736.0,-4.31,41.15,11.5,0.0,10.643333333333334,0.0,10.0,32.14333333333333
MRV001_BB20_RSI14_BUY30_SL1P5_TP2P0,Generated Mean Reversion Bollinger 20 RSI 30,GENERATED,mean_reversion,BTCUSDT,15m,1.0,2.0,-31.72,0.92,-31.0,31.93,-42.54,736.0,-4.31,41.09,11.5,0.0,10.643333333333334,0.0,10.0,32.14333333333333
macd_rsi_volume,MACD + RSI + Volume,FIXED,fixed,BNBUSDT,15m,1.0,3.0,-4.29,0.99,2.0,25.12,-42.06,430.0,-1.0,41.84,12.375,1.0,8.373333333333333,0.0,10.0,31.748333333333335
VOL001_EMA20_100_VOL1P2_SL1P0_TP2P0,Generated Volume EMA 20/100 Vol 1.2,GENERATED,volume,XRPUSDT,15m,1.5,4.0,-8.99,0.98,0.0,27.27,-48.19,319.0,-2.82,31.3,12.25,0.0,9.09,0.0,10.0,31.34
