Strategy,Pair,Train Start,Train End,Test Start,Test End,Train ROI,Test ROI,Train Win Rate,Test Win Rate,Train PF,Test PF,Walk Forward Score,Status
EMA 20/50 Cross + RSI Filter,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-19.73,-1.76,30.14,32.91,0.85,0.97,70.0,PASS
EMA 20/50 Cross + RSI Filter,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,56.72,-21.67,50.54,39.39,1.17,0.75,53.91,FAIL
EMA 20/50 Cross + RSI Filter,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,11.73,-8.66,17.9,14.0,1.06,0.79,58.19,FAIL
EMA 20/50 Cross + RSI Filter,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,4.53,-19.03,34.08,27.87,1.02,0.76,58.75,FAIL
EMA 20/50 Cross + RSI Filter,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,47.44,-17.02,23.81,16.49,1.2,0.76,50.68,FAIL
EMA 20/50 Cross + RSI Filter,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-9.1,2.99,19.57,21.57,0.95,1.07,100.0,PASS
EMA 20/50 Cross + RSI Filter,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-6.52,-12.09,24.71,20.59,0.97,0.76,60.42,FAIL
EMA Trend + RSI Pullback,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,13.34,-10.05,36.62,28.12,1.14,0.77,55.01,FAIL
EMA Trend + RSI Pullback,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,4.46,2.3,34.57,34.72,1.04,1.05,85.47,PASS
EMA Trend + RSI Pullback,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,11.85,-12.58,45.39,31.25,1.1,0.59,50.17,FAIL
EMA Trend + RSI Pullback,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,46.43,-18.25,45.65,30.56,1.24,0.68,50.45,FAIL
EMA Trend + RSI Pullback,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,2.19,16.19,33.92,39.13,1.01,1.27,100.0,PASS
EMA Trend + RSI Pullback,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,13.93,-11.81,35.17,26.98,1.07,0.71,54.14,FAIL
EMA Trend + RSI Pullback,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,44.7,-17.01,40.24,22.73,1.24,0.55,42.54,FAIL
EMA Trend + RSI Pullback,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,7.53,-5.46,17.93,13.79,1.05,0.78,57.47,FAIL
EMA Trend + RSI Pullback,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-28.14,4.85,36.62,46.0,0.76,1.11,100.0,PASS
EMA Trend + RSI Pullback,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,55.32,-5.97,32.73,25.86,1.23,0.9,57.01,FAIL
EMA Trend + RSI Pullback,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,7.33,-4.44,44.06,41.43,1.03,0.93,66.08,FAIL
EMA Trend + RSI Pullback,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,2.94,-13.08,33.98,29.36,1.01,0.82,61.9,FAIL
EMA Trend + RSI Pullback,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,51.18,-13.44,24.51,16.87,1.24,0.79,52.31,FAIL
EMA Trend + RSI Pullback,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-6.79,3.09,19.71,21.74,0.96,1.08,100.0,PASS
EMA Trend + RSI Pullback,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,3.16,-12.05,20.73,15.38,1.02,0.7,55.7,FAIL
MACD + RSI + Volume,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,20.75,-7.73,29.01,22.67,1.21,0.86,56.49,FAIL
MACD + RSI + Volume,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,15.87,9.59,35.91,37.5,1.1,1.19,88.13,PASS
MACD + RSI + Volume,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,14.44,-17.78,35.51,23.88,1.09,0.61,50.6,FAIL
MACD + RSI + Volume,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,58.15,-23.74,38.6,26.25,1.2,0.69,49.54,FAIL
MACD + RSI + Volume,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-4.55,5.29,42.81,44.94,0.98,1.08,100.0,PASS
MACD + RSI + Volume,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,4.69,-23.52,34.12,24.21,1.02,0.61,51.58,FAIL
MACD + RSI + Volume,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,19.41,-15.46,35.53,27.27,1.08,0.73,56.09,FAIL
MACD + RSI + Volume,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-9.5,-5.41,32.57,30.51,0.96,0.86,65.81,FAIL
MACD + RSI + Volume,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-20.62,-6.83,52.48,52.38,0.86,0.87,69.95,FAIL
MACD + RSI + Volume,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,97.55,-12.69,46.82,37.5,1.27,0.87,54.78,FAIL
MACD + RSI + Volume,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,18.64,-8.14,42.11,37.25,1.06,0.87,62.63,FAIL
MACD + RSI + Volume,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,10.24,-0.92,56.97,55.84,1.04,0.99,68.3,FAIL
MACD + RSI + Volume,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,34.85,-35.93,59.03,45.83,1.12,0.65,49.52,FAIL
MACD + RSI + Volume,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,9.39,-14.06,21.14,15.94,1.04,0.74,56.64,FAIL
MACD + RSI + Volume,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-9.45,-15.6,19.61,14.75,0.96,0.68,56.51,FAIL
SuperTrend + EMA + ATR SL,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,7.32,-12.1,35.71,27.27,1.09,0.73,55.44,FAIL
SuperTrend + EMA + ATR SL,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,1.78,-3.82,20.72,18.75,1.02,0.9,64.68,FAIL
SuperTrend + EMA + ATR SL,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,12.1,-10.0,52.71,40.74,1.1,0.66,53.07,FAIL
SuperTrend + EMA + ATR SL,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,41.15,-18.25,44.79,30.56,1.21,0.68,51.11,FAIL
SuperTrend + EMA + ATR SL,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-4.34,12.29,19.89,24.19,0.97,1.24,100.0,PASS
SuperTrend + EMA + ATR SL,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,11.3,-8.02,35.11,29.27,1.06,0.8,59.71,FAIL
SuperTrend + EMA + ATR SL,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,37.56,-17.01,39.29,22.73,1.2,0.55,43.25,FAIL
SuperTrend + EMA + ATR SL,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-3.73,-5.59,16.67,14.29,0.98,0.82,62.35,FAIL
SuperTrend + EMA + ATR SL,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-29.37,10.79,27.69,38.57,0.76,1.23,100.0,PASS
SuperTrend + EMA + ATR SL,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,49.43,-19.98,39.09,26.83,1.19,0.7,51.87,FAIL
SuperTrend + EMA + ATR SL,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,5.58,-1.26,34.38,33.33,1.02,0.98,68.26,FAIL
SuperTrend + EMA + ATR SL,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-3.05,6.13,33.5,35.82,0.99,1.09,100.0,PASS
SuperTrend + EMA + ATR SL,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,44.23,-20.21,23.46,15.62,1.18,0.74,50.05,FAIL
SuperTrend + EMA + ATR SL,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-12.87,-5.8,24.05,23.19,0.94,0.89,67.78,FAIL
SuperTrend + EMA + ATR SL,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-10.64,-7.7,19.37,17.54,0.94,0.83,64.71,FAIL
SuperTrend + RSI,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,10.98,-21.64,22.13,14.77,1.11,0.67,49.92,FAIL
SuperTrend + RSI,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-1.14,4.99,33.54,35.14,0.99,1.07,100.0,PASS
SuperTrend + RSI,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,2.51,-21.85,33.9,23.08,1.01,0.57,50.51,FAIL
SuperTrend + RSI,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,64.86,-21.32,51.09,40.74,1.19,0.79,55.36,FAIL
SuperTrend + RSI,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-14.68,5.19,39.22,42.19,0.94,1.07,100.0,PASS
SuperTrend + RSI,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-7.5,-30.56,39.91,27.27,0.97,0.5,48.28,FAIL
SuperTrend + RSI,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,14.46,-28.35,21.43,13.04,1.05,0.58,49.02,FAIL
SuperTrend + RSI,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-24.78,-3.6,31.6,31.88,0.93,0.92,69.73,FAIL
SuperTrend + RSI,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-29.59,-18.12,30.06,27.52,0.85,0.76,65.24,FAIL
SuperTrend + RSI,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,45.97,-17.21,48.83,42.86,1.1,0.87,61.72,FAIL
SuperTrend + RSI,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,5.46,-7.43,34.16,31.65,1.02,0.91,65.47,FAIL
SuperTrend + RSI,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,1.73,-10.6,33.95,31.37,1.01,0.89,62.69,FAIL
SuperTrend + RSI,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,-1.07,-26.99,25.31,21.08,1.0,0.79,60.57,FAIL
SuperTrend + RSI,XRPUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-23.77,4.78,23.78,26.74,0.93,1.07,100.0,PASS
SuperTrend + RSI,XRPUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-25.73,-31.22,23.51,17.5,0.9,0.61,55.55,FAIL
