Rows,Framework,Mode,Preparation Ms,Alignment Ms,Framework Decision Ms,Controller Ms,Policy Ms,Total Ms,Rows Per Second,Measured Runs,Warmup Runs,Approximate Input Memory Bytes,Decision Series Memory Bytes,Repeated Indicator Calculations,Phase 24.5 10000-Row Baseline Ms
1000,pin_bar_rejection,stateful_policy_instrumented,1.4224,6.690933,322.343701,97.1743,90.1828,563.2374,1775.45,3,1,643000,2494585,0,2916.6099250499997
1000,pivot_range_breakout,stateful_policy_instrumented,1.2646,6.3511,260.073166,80.199067,73.260933,466.2606,2144.723,3,1,643000,2281643,0,2916.6099250499997
1000,price_channel_trend,stateful_policy_instrumented,1.3583,6.1728,262.8925,93.2592,86.132667,487.057767,2053.145,3,1,643000,2166037,0,2916.6099250499997
1000,rsi_pullback_trend,stateful_policy_instrumented,1.362167,6.7271,233.054666,90.772467,83.8935,453.0134,2207.44,3,1,643000,2277746,0,2916.6099250499997
1000,stochastic_pullback_trend,stateful_policy_instrumented,1.582433,6.7795,417.407769,105.989767,98.2833,664.196,1505.58,3,1,643000,2291209,0,2916.6099250499997
1000,supertrend_trend_following,stateful_policy_instrumented,1.697367,6.662567,266.427866,95.369133,88.281133,500.0834,1999.666,3,1,643000,2254820,0,2916.6099250499997
1000,support_resistance_bounce,stateful_policy_instrumented,1.399067,7.972267,266.932201,94.0345,87.311867,496.8563,2012.654,3,1,643000,2336751,0,2916.6099250499997
1000,triple_screen_trading,stateful_policy_instrumented,4.016467,21.612367,331.278567,109.103733,101.132133,672.2156,1487.618,3,1,910488,2504435,0,2916.6099250499997
1000,turtle_trading,stateful_policy_instrumented,1.545433,6.7738,182.501067,94.5609,87.371867,412.044833,2426.92,3,1,643000,2161031,0,2916.6099250499997
1000,volume_expansion_breakout,stateful_policy_instrumented,1.7063,6.984,307.730067,99.973133,92.557533,548.1058,1824.465,3,1,643000,2291633,0,2916.6099250499997
1000,vwap_mean_reversion,stateful_policy_instrumented,1.484233,6.721067,259.973134,100.440133,92.875333,501.2229,1995.12,3,1,643000,2166031,0,2916.6099250499997
1000,williams_r_reversal,stateful_policy_instrumented,1.4478,6.957367,405.063,107.8404,99.8163,656.585033,1523.032,3,1,643000,2279245,0,2916.6099250499997
1000,zscore_mean_reversion,stateful_policy_instrumented,1.425267,6.6254,238.114532,94.257933,87.084733,466.4081,2144.045,3,1,643000,2168031,0,2916.6099250499997
10000,adx_trend_following,stateless,3.6504,70.690267,2287.137166,0.0,0.0,3227.397133,3098.472,3,1,6430000,10529029,0,2916.6099250499997
10000,aroon_trend,stateless,3.3966,64.9565,2537.494369,0.0,0.0,3499.5483,2857.512,3,1,6430000,10449032,0,2916.6099250499997
10000,atr_volatility_breakout,stateless,3.499533,76.386,2224.112701,0.0,0.0,3156.853,3167.712,3,1,6430000,10569029,0,2916.6099250499997
10000,bollinger_mean_reversion,stateless,3.8659,69.948233,1042.312964,0.0,0.0,1899.646767,5264.137,3,1,6430000,10579026,0,2916.6099250499997
10000,bollinger_squeeze_breakout,stateless,3.518433,74.500867,2235.943465,0.0,0.0,3179.392567,3145.255,3,1,6430000,10599029,0,2916.6099250499997
10000,cci_trend_pullback,stateless,3.294867,73.3534,3795.802367,0.0,0.0,4906.783,2037.995,3,1,6430000,10519044,0,2916.6099250499997
10000,chandelier_exit_trend,stateless,3.207833,68.497533,2526.689166,0.0,0.0,3490.502133,2864.917,3,1,6430000,10549032,0,2916.6099250499997
10000,connors_rsi_mean_reversion,stateless,3.611633,69.299233,2152.207832,0.0,0.0,3080.7734,3245.938,3,1,6430000,10599329,0,2916.6099250499997
10000,donchian_breakout,stateless,3.524367,67.454867,1677.449927,0.0,0.0,2580.548133,3875.146,3,1,6430000,10509029,0,2916.6099250499997
10000,dual_moving_average_crossover,stateless,3.567933,70.356067,2254.667104,0.0,0.0,3180.346633,3144.311,3,1,6430000,10629029,0,2916.6099250499997
10000,elder_impulse_system,stateless,3.648567,68.390533,2687.868131,0.0,0.0,3662.510533,2730.368,3,1,6430000,10539032,0,2916.6099250499997
10000,ema_ribbon_trend,stateless,3.206533,71.032733,2220.666263,0.0,0.0,3154.461533,3170.113,3,1,6430000,10499029,0,2916.6099250499997
10000,engulfing_confirmation_trend,stateless,3.176033,66.559433,2456.680197,0.0,0.0,3391.099667,2948.896,3,1,6430000,10619032,0,2916.6099250499997
10000,heikin_ashi_trend,stateless,3.943233,71.492233,2741.290399,0.0,0.0,3715.573,2691.375,3,1,6430000,10509032,0,2916.6099250499997
10000,ichimoku_cloud_trading,stateless,3.515067,75.753067,1756.069034,0.0,0.0,2733.794233,3657.92,3,1,6430000,10617364,0,2916.6099250499997
10000,inside_bar_breakout,stateless,3.4764,74.4623,2605.112396,0.0,0.0,3557.050067,2811.318,3,1,6430000,10529029,0,2916.6099250499997
10000,keltner_channel_breakout,stateless,3.310267,68.266033,2326.772902,0.0,0.0,3255.7929,3071.448,3,1,6430000,10579029,0,2916.6099250499997
10000,macd_momentum,stateless,3.4447,73.487267,2311.389664,0.0,0.0,3258.709167,3068.7,3,1,6430000,10469029,0,2916.6099250499997
10000,momentum_acceleration_breakout,stateless,3.312333,66.7627,2501.306801,0.0,0.0,3443.270033,2904.216,3,1,6430000,10639032,0,2916.6099250499997
10000,nr4_nr7_volatility_breakout,stateless,3.135067,68.3823,2457.185432,0.0,0.0,3394.989733,2945.517,3,1,6430000,10609047,0,2916.6099250499997
10000,opening_range_breakout,stateless,3.634333,70.353267,4719.942664,0.0,0.0,5811.9101,1720.605,3,1,6430000,10559029,0,2916.6099250499997
10000,parabolic_sar_trend,stateless,3.546433,75.590533,2172.371294,0.0,0.0,3104.3412,3221.295,3,1,6430000,10529029,0,2916.6099250499997
10000,pin_bar_rejection,stateless,3.430533,66.969267,3007.680633,0.0,0.0,4059.822233,2463.162,3,1,6430000,12388761,0,2916.6099250499997
10000,pivot_range_breakout,stateless,3.5004,66.903633,2503.851566,0.0,0.0,3453.755733,2895.399,3,1,6430000,10539032,0,2916.6099250499997
10000,price_channel_trend,stateless,3.405,66.0069,2410.592804,0.0,0.0,3344.8909,2989.634,3,1,6430000,10529032,0,2916.6099250499997
10000,rsi_pullback_trend,stateless,2.951067,68.2343,2251.919769,0.0,0.0,3212.367533,3112.969,3,1,6430000,10519029,0,2916.6099250499997
10000,stochastic_pullback_trend,stateless,3.170733,74.2614,3942.990864,0.0,0.0,5034.786467,1986.182,3,1,6430000,10589044,0,2916.6099250499997
10000,supertrend_trend_following,stateless,3.663167,70.4686,2484.035764,0.0,0.0,3467.683867,2883.769,3,1,6430000,10748934,0,2916.6099250499997
10000,support_resistance_bounce,stateless,3.465833,68.1062,2598.990034,0.0,0.0,3587.2393,2787.659,3,1,6430000,10728935,0,2916.6099250499997
10000,triple_screen_trading,stateless,5.992233,213.038567,2867.00016,0.0,0.0,4626.439,2161.49,3,1,9108738,13932748,0,2916.6099250499997
10000,turtle_trading,stateless,3.846167,67.926067,1552.888201,0.0,0.0,2450.809267,4080.285,3,1,6430000,10479029,0,2916.6099250499997
10000,volume_expansion_breakout,stateless,3.3129,67.95,2930.729731,0.0,0.0,3980.6379,2512.16,3,1,6430000,10589032,0,2916.6099250499997
10000,vwap_mean_reversion,stateless,3.1106,72.4013,2222.249902,0.0,0.0,3164.512633,3160.044,3,1,6430000,10529029,0,2916.6099250499997
10000,williams_r_reversal,stateless,3.528267,68.158667,3747.346732,0.0,0.0,4840.0615,2066.089,3,1,6430000,10529044,0,2916.6099250499997
10000,zscore_mean_reversion,stateless,3.372933,74.514367,2145.2612,0.0,0.0,3096.052267,3229.92,3,1,6430000,10549029,0,2916.6099250499997
10000,adx_trend_following,stateful_policy,3.567933,69.257233,2514.779395,0.0,0.0,4682.264333,2135.719,3,1,6430000,21669032,0,2916.6099250499997
10000,aroon_trend,stateful_policy,3.604733,68.447,2725.239734,0.0,0.0,4898.6119,2041.395,3,1,6430000,21589038,0,2916.6099250499997
10000,atr_volatility_breakout,stateful_policy,4.131467,85.337133,2526.34,0.0,0.0,4760.2181,2100.744,3,1,6430000,21709032,0,2916.6099250499997
10000,bollinger_mean_reversion,stateful_policy,3.485033,80.036767,1245.299966,0.0,0.0,3321.982933,3010.25,3,1,6430000,21719026,0,2916.6099250499997
10000,bollinger_squeeze_breakout,stateful_policy,3.6345,73.0036,2427.419601,0.0,0.0,4579.347367,2183.717,3,1,6430000,22948739,0,2916.6099250499997
10000,cci_trend_pullback,stateful_policy,3.977833,72.3393,4040.910067,0.0,0.0,6440.117167,1552.767,3,1,6430000,22788252,0,2916.6099250499997
10000,chandelier_exit_trend,stateful_policy,3.433067,72.250433,2883.987903,0.0,0.0,5199.581067,1923.232,3,1,6430000,21689038,0,2916.6099250499997
10000,connors_rsi_mean_reversion,stateful_policy,3.842267,75.5825,2434.755601,0.0,0.0,4674.367533,2139.327,3,1,6430000,22938039,0,2916.6099250499997
10000,donchian_breakout,stateful_policy,3.9601,72.820233,1875.141526,0.0,0.0,3993.827933,2503.864,3,1,6430000,21649032,0,2916.6099250499997
10000,dual_moving_average_crossover,stateful_policy,3.954633,71.486133,2515.283297,0.0,0.0,4695.501367,2129.698,3,1,6430000,21769032,0,2916.6099250499997
10000,elder_impulse_system,stateful_policy,3.224967,67.4927,2841.15857,0.0,0.0,4994.652433,2002.141,3,1,6430000,21679038,0,2916.6099250499997
10000,ema_ribbon_trend,stateful_policy,3.6631,70.584467,2558.229335,0.0,0.0,4809.449867,2079.24,3,1,6430000,21639032,0,2916.6099250499997
10000,engulfing_confirmation_trend,stateful_policy,3.380867,74.269867,2743.799267,0.0,0.0,4965.6732,2013.826,3,1,6430000,22988628,0,2916.6099250499997
10000,heikin_ashi_trend,stateful_policy,3.639,67.257633,2940.065732,0.0,0.0,5133.997233,1947.8,3,1,6430000,21649038,0,2916.6099250499997
10000,ichimoku_cloud_trading,stateful_policy,3.705633,67.556167,1927.171198,0.0,0.0,4152.746,2408.045,3,1,6430000,22427251,0,2916.6099250499997
10000,inside_bar_breakout,stateful_policy,3.723,71.5313,2897.633601,0.0,0.0,5143.506367,1944.199,3,1,6430000,22808746,0,2916.6099250499997
10000,keltner_channel_breakout,stateful_policy,3.5531,70.508533,2612.496463,0.0,0.0,4803.098367,2081.989,3,1,6430000,21719032,0,2916.6099250499997
10000,macd_momentum,stateful_policy,3.724933,80.3544,2544.302373,0.0,0.0,4755.9511,2102.629,3,1,6430000,21609032,0,2916.6099250499997
10000,momentum_acceleration_breakout,stateful_policy,3.4649,74.790533,2713.970566,0.0,0.0,4886.734833,2046.356,3,1,6430000,23028624,0,2916.6099250499997
10000,nr4_nr7_volatility_breakout,stateful_policy,3.373567,71.297667,2692.556298,0.0,0.0,4876.462967,2050.667,3,1,6430000,22968090,0,2916.6099250499997
10000,opening_range_breakout,stateful_policy,3.982,74.7956,5091.977834,0.0,0.0,7441.556533,1343.805,3,1,6430000,22868743,0,2916.6099250499997
